id,date,SP,DATE,HAA,label_fnn
15360,2018-05-08T11:48:27-04:00,Bloggers,2018,Bloggers,fake
15419,2018-05-23T15:36:52-04:00,AsAmericanAsApplePieorg,2018,AsAmericanAsApplePieorg,fake
15606,2018-07-18T12:00:52-04:00,Bloggers,2018,Bloggers,fake
15482,2018-06-08T12:18:02-04:00,Bloggers,2018,Bloggers,fake
15534,2018-06-25T17:37:26-04:00,Bloggers,2018,Bloggers,fake
14742,2017-11-13T13:54:14-05:00,Bloggers,2017,Bloggers,fake
14755,2017-11-15T16:48:22-05:00,Bloggers,2017,Bloggers,fake
14770,2017-11-20T13:28:45-05:00,Bloggers,2017,Bloggers,fake
15263,2018-04-12T16:22:42-04:00,Reaganwasright,2018,Reaganwasright,fake
14944,2018-01-22T17:13:11-05:00,world newsscom,2018,world newsscom,fake
14548,2017-09-20T11:20:19-04:00,Science Vibe,2017,Science Vibe,fake
14436,2017-08-16T16:00:36-04:00,Reaganwasright,2017,Reaganwasright,fake
2028,2010-07-08T18:18:21-04:00,Bloggers,2010,Bloggers,real
14471,2017-08-28T15:49:00-04:00,Bloggers,2017,Bloggers,fake
13957,2017-04-07T10:00:00-04:00,Alexi Giannoulias,2017,Alexi Giannoulias,fake
15100,2018-03-05T16:12:32-05:00,OurLandOfTheFreecom,2018,OurLandOfTheFreecom,fake
13557,2016-12-20T15:48:11-05:00,Bloggers,2016,Bloggers,fake
14984,2018-01-30T23:27:30-05:00,Bloggers,2018,Bloggers,real
1053,2009-06-15T14:04:41-04:00,ThatViralFeednet,2009,ThatViralFeednet,real
13924,2017-04-02T08:15:00-04:00,Donald Trump,2017,Donald Trump,fake
3221,2011-02-11T17:19:04-05:00,Mike Murphy,2011,Mike Murphy,real
14166,2017-05-31T13:00:00-04:00,EmpireSportsco,2017,EmpireSportsco,fake
14264,2017-06-28T12:01:40-04:00,Mitt Romney,2017,Mitt Romney,fake
14644,2017-10-18T10:27:43-04:00,Uspoln Website,2017,Uspoln Website,fake
14678,2017-10-26T09:00:00-04:00,Snoopackcom,2017,Snoopackcom,fake
13589,2017-01-05T15:12:46-05:00,AsAmericanAsApplePieorg,2017,AsAmericanAsApplePieorg,fake
15573,2018-07-05T15:37:12-04:00,Bloggers,2018,Bloggers,fake
14890,2018-01-04T11:00:00-05:00,USA Snich,2018,USA Snich,fake
14856,2017-12-18T11:04:11-05:00,Viral image,2017,Viral image,fake
13773,2017-02-23T10:00:00-05:00,Flash 24 Daily,2017,Flash 24 Daily,fake
14503,2017-09-07T12:40:41-04:00,USA In Front,2017,USA In Front,fake
15256,2018-04-11T13:12:26-04:00,Bloggers,2018,Bloggers,fake
15178,2018-03-22T18:08:09-04:00,Bloggers,2018,Bloggers,fake
15309,2018-04-25T16:53:03-04:00,The Global Headlines,2018,The Global Headlines,fake
15307,2018-04-25T13:32:17-04:00,Universal News Portal,2018,Universal News Portal,fake
15301,2018-04-24T15:28:38-04:00,Nrt Online,2018,Nrt Online,fake
15298,2018-04-24T15:29:26-04:00,Bloggers,2018,Bloggers,fake
200,2007-11-28T00:00:00-05:00,Bloggers,2007,Bloggers,real
182,2007-11-15T00:00:00-05:00,Bloggers,2007,Bloggers,real
87,2007-09-20T00:00:00-04:00,Mitt Romney,2007,Mitt Romney,real
15267,2018-04-13T15:11:33-04:00,Bill Richardson,2018,Bill Richardson,fake
12773,2016-07-26T00:36:12-04:00,Barack Obama,2016,Barack Obama,real
539,2008-06-26T00:00:00-04:00,Bloggers,2008,Bloggers,real
15354,2018-05-04T11:58:11-04:00,Republican National Committee,2018,Republican National Committee,fake
15342,2018-05-02T15:24:28-04:00,Barack Obama,2018,Barack Obama,fake
14794,2017-11-29T11:46:49-05:00,Bloggers,2017,Bloggers,fake
14026,2017-04-21T16:57:10-04:00,YourNewsWirecom,2017,YourNewsWirecom,fake
8152,2013-08-15T15:11:52-04:00,Sam Brownback,2013,Sam Brownback,real
14128,2017-05-18T10:00:00-04:00,DailyNewsForAmericanscom,2017,DailyNewsForAmericanscom,fake
15280,2018-04-20T09:48:07-04:00,Bloggers,2018,Bloggers,fake
15355,2018-05-07T14:06:51-04:00,Rand Paul,2018,Rand Paul,fake
14090,2017-05-08T16:15:31-04:00,TDAlliancecom,2017,TDAlliancecom,fake
13577,2017-01-03T17:25:50-05:00,YourNewsWirecom,2017,YourNewsWirecom,fake
14126,2017-05-17T16:22:59-04:00,Bloggers,2017,Bloggers,fake
15205,2018-03-30T10:25:03-04:00,Bloggers,2018,Bloggers,fake
14519,2017-09-12T08:01:39-04:00,UniversePoliticscom,2017,UniversePoliticscom,fake
14516,2017-09-11T15:15:45-04:00,Bloggers,2017,Bloggers,fake
15386,2018-05-15T16:44:45-04:00,Bloggers,2018,Bloggers,fake
15564,2018-07-03T14:00:52-04:00,Freedom Daily,2018,Freedom Daily,fake
14005,2017-04-18T14:39:21-04:00,Bloggers,2017,Bloggers,fake
15188,2018-03-26T17:25:32-04:00,The Political Voice,2018,The Political Voice,fake
14265,2017-06-27T12:01:17-04:00,Viral image,2017,Viral image,fake
14815,2017-12-06T10:25:52-05:00,Now8Newscom,2017,Now8Newscom,fake
13784,2017-02-24T15:02:29-05:00,ABC NEWS US,2017,ABC NEWS US,fake
14243,2017-06-21T12:38:39-04:00,Bloggers,2017,Bloggers,fake
15291,2018-04-23T12:24:34-04:00,states newscom,2018,states newscom,fake
13806,2017-03-02T13:41:49-05:00,Bloggers,2017,Bloggers,fake
13794,2017-02-28T17:37:59-05:00,Bloggers,2017,Bloggers,fake
15456,2018-06-01T15:33:35-04:00,Bloggers,2018,Bloggers,fake
14205,2017-06-12T16:14:59-04:00,BlackInsuranceNewscom,2017,BlackInsuranceNewscom,fake
14213,2017-06-14T12:33:22-04:00,Bloggers,2017,Bloggers,fake
14235,2017-06-20T11:12:25-04:00,Bloggers,2017,Bloggers,fake
15599,2018-07-13T09:55:50-04:00,AntiNewsin,2018,AntiNewsin,fake
14342,2017-07-20T17:25:19-04:00,Bloggers,2017,Bloggers,fake
14158,2017-05-26T13:09:21-04:00,LondonWebNewscom,2017,LondonWebNewscom,fake
14309,2017-07-12T10:50:16-04:00,Bling News,2017,Bling News,fake
15486,2018-06-12T14:08:39-04:00,Bloggers,2018,Bloggers,fake
14286,2017-07-05T12:00:00-04:00,Bloggers,2017,Bloggers,fake
13600,2017-01-10T10:30:59-05:00,Bloggers,2017,Bloggers,fake
15271,2018-04-13T14:00:12-04:00,YourNewsWirecom,2018,YourNewsWirecom,fake
13815,2017-03-06T11:21:50-05:00,StGeorgeGazettecom,2017,StGeorgeGazettecom,fake
14776,2017-11-22T10:00:00-05:00,Bloggers,2017,Bloggers,fake
15164,2018-03-21T12:40:14-04:00,Bloggers,2018,Bloggers,fake
14832,2017-12-11T12:34:03-05:00,Bloggers,2017,Bloggers,fake
14718,2017-11-06T12:43:51-05:00,YourNewsWirecom,2017,YourNewsWirecom,fake
13853,2017-03-13T14:01:22-04:00,YourNewsWirecom,2017,YourNewsWirecom,fake
14904,2018-01-09T06:00:00-05:00,Bloggers,2018,Bloggers,fake
14605,2017-10-04T17:46:39-04:00,FreedomJunkshuncom,2017,FreedomJunkshuncom,fake
13887,2017-03-21T12:57:35-04:00,Bloggers,2017,Bloggers,fake
8371,2013-10-08T16:20:17-04:00,Nourtey,2013,Nourtey,real
13827,2017-03-07T14:40:37-05:00,HoustonChronicle tvcom,2017,HoustonChronicle tvcom,fake
15158,2018-03-20T10:51:02-04:00,Bloggers,2018,Bloggers,fake
95,2007-09-28T00:00:00-04:00,Dennis Ross,2007,Dennis Ross,real
15533,2018-06-26T10:00:00-04:00,UndergroundNewsReportcom,2018,UndergroundNewsReportcom,fake
15554,2018-06-29T14:13:35-04:00,St Lucia Times,2018,St Lucia Times,fake
13816,2017-03-03T16:28:56-05:00,Barack Obama,2017,Barack Obama,fake
14169,2017-06-01T09:00:00-04:00,Bloggers,2017,Bloggers,fake
14211,2017-06-14T12:32:38-04:00,Bloggers,2017,Bloggers,fake
15137,2018-03-14T15:50:43-04:00,TheSeattleTribunecom,2018,TheSeattleTribunecom,fake
13836,2017-03-09T10:14:39-05:00,Uspoln Website,2017,Uspoln Website,fake
15095,2018-03-05T12:56:12-05:00,Bloggers,2018,Bloggers,fake
9033,2014-03-12T13:15:15-04:00,Bloggers,2014,Bloggers,real
14021,2017-04-21T15:44:21-04:00,Bloggers,2017,Bloggers,fake
14008,2017-04-19T10:58:15-04:00,Your Action News 3,2017,Your Action News 3,fake
1924,2010-06-21T12:15:21-04:00,Rob Portman,2010,Rob Portman,real
396,2008-03-12T00:00:00-04:00,RealNewsRightNowcom,2008,RealNewsRightNowcom,real
14003,2017-04-18T14:02:39-04:00,Bloggers,2017,Bloggers,fake
13698,2017-02-03T12:09:23-05:00,Snooki,2017,Snooki,fake
14148,2017-05-24T09:37:37-04:00,Barack Obama,2017,Barack Obama,fake
13913,2017-04-02T09:10:00-04:00,Bloggers,2017,Bloggers,fake
13687,2017-02-02T09:27:17-05:00,Bloggers,2017,Bloggers,fake
15591,2018-07-12T12:08:43-04:00,Bloggers,2018,Bloggers,fake
14500,2017-09-06T15:53:54-04:00,Bloggers,2017,Bloggers,fake
13771,2017-02-22T10:18:13-05:00,Bloggers,2017,Bloggers,fake
13559,2016-12-20T16:07:59-05:00,YourNewsWirecom,2016,YourNewsWirecom,fake
15109,2018-03-07T12:23:55-05:00,OurLandOfTheFreecom,2018,OurLandOfTheFreecom,fake
14954,2018-01-24T14:46:39-05:00,Bloggers,2018,Bloggers,fake
14698,2017-11-01T13:55:58-04:00,Politiconocom,2017,Politiconocom,fake
15487,2018-06-12T14:53:19-04:00,NY FOX News,2018,NY FOX News,fake
14947,2018-01-23T13:19:49-05:00,The Patriot Report,2018,The Patriot Report,fake
14668,2017-10-23T12:59:12-04:00,Bloggers,2017,Bloggers,fake
15409,2018-05-23T09:24:14-04:00,Red State Wave,2018,Red State Wave,fake
14908,2018-01-08T15:18:29-05:00,The Patriot Report,2018,The Patriot Report,fake
8557,2013-11-18T15:24:38-05:00,React365com,2013,React365com,real
15246,2018-04-10T15:58:18-04:00,YourNewsWirecom,2018,YourNewsWirecom,fake
14576,2017-09-27T15:28:26-04:00,Someonesbones,2017,Someonesbones,fake
14565,2017-09-25T15:25:35-04:00,Jan Schakowsky,2017,Jan Schakowsky,fake
15404,2018-05-21T14:15:40-04:00,Only Politics,2018,Only Politics,fake
14876,2017-12-27T14:29:55-05:00,Bloggers,2017,Bloggers,fake
1714,2010-04-22T14:45:13-04:00,TheLastLineOfDefenseorg,2010,TheLastLineOfDefenseorg,real
13775,2017-02-23T13:00:00-05:00,Daily World  Update,2017,Daily World Update,fake
14310,2017-07-12T10:50:36-04:00,defense usa,2017,defense usa,fake
15347,2018-05-03T10:58:56-04:00,Lamar Alexander,2018,Lamar Alexander,fake
14236,2017-06-20T11:11:38-04:00,Bloggers,2017,Bloggers,fake
15401,2018-05-17T16:25:11-04:00,Bloggers,2018,Bloggers,fake
8805,2014-01-24T15:51:38-05:00,Bloggers,2014,Bloggers,real
14361,2017-07-26T15:15:22-04:00,FreedomCrossroadsus,2017,FreedomCrossroadsus,fake
14406,2017-08-09T10:00:13-04:00,Bloggers,2017,Bloggers,fake
15232,2018-04-06T12:51:31-04:00,Patty Murray,2018,Patty Murray,fake
14355,2017-07-24T15:13:05-04:00,Bloggers,2017,Bloggers,fake
14394,2017-08-03T15:30:45-04:00,Bloggers,2017,Bloggers,fake
14884,2018-01-02T17:33:30-05:00,Bloggers,2018,Bloggers,fake
323,2008-02-01T00:00:00-05:00,Bloggers,2008,Bloggers,real
15368,2018-05-10T11:27:16-04:00,Bloggers,2018,Bloggers,fake
13807,2017-03-02T16:26:55-05:00,Ufconly,2017,Ufconly,fake
14841,2017-12-13T14:55:07-05:00,Barack Obama,2017,Barack Obama,fake
1741,2010-04-28T22:52:31-04:00,NY Evening News,2010,NY Evening News,real
10889,2015-06-02T13:37:13-04:00,Bloggers,2015,Bloggers,real
15204,2018-03-30T10:55:39-04:00,nofakenews online,2018,nofakenews online,fake
13820,2017-03-06T15:15:37-05:00,Arlen Specter,2017,Arlen Specter,fake
14893,2018-01-05T10:33:49-05:00,Marco Rubio,2018,Marco Rubio,fake
14454,2017-08-23T11:35:21-04:00,Project Republic,2017,Project Republic,fake
15241,2018-04-09T16:40:45-04:00,Bloggers,2018,Bloggers,fake
14408,2017-08-10T08:00:00-04:00,New Century Times,2017,New Century Times,fake
14333,2017-07-18T15:00:00-04:00,Bloggers,2017,Bloggers,fake
14330,2017-07-18T10:36:13-04:00,Bloggers,2017,Bloggers,fake
14328,2017-07-18T10:33:44-04:00,Bloggers,2017,Bloggers,fake
14327,2017-07-17T16:00:00-04:00,Bloggers,2017,Bloggers,fake
14301,2017-07-14T10:00:00-04:00,Bloggers,2017,Bloggers,fake
14293,2017-07-06T13:51:02-04:00,FreedomCrossroadsus,2017,FreedomCrossroadsus,fake
14285,2017-07-06T10:00:00-04:00,HalfwayPostcom,2017,HalfwayPostcom,fake
14472,2017-08-28T17:15:06-04:00,Uspoln Website,2017,Uspoln Website,fake
14475,2017-08-29T14:00:00-04:00,Bloggers,2017,Bloggers,fake
65,2007-09-12T00:00:00-04:00,Channel24Newscom,2007,Channel24Newscom,real
14694,2017-10-31T15:48:09-04:00,Bloggers,2017,Bloggers,fake
14567,2017-09-25T17:04:09-04:00,Bloggers,2017,Bloggers,fake
14544,2017-09-19T15:32:39-04:00,Fred Thompson,2017,Fred Thompson,fake
14950,2018-02-12T10:56:06-05:00,FreedomJunkshuncom,2018,FreedomJunkshuncom,fake
114,2007-10-09T00:00:00-04:00,Bloggers,2007,Bloggers,real
14789,2017-11-27T16:51:29-05:00,TheLastLineOfDefenseorg,2017,TheLastLineOfDefenseorg,fake
129,2007-10-17T00:00:00-04:00,The Patriot Report,2007,The Patriot Report,real
14270,2017-06-30T10:00:00-04:00,Hillary Clinton,2017,Hillary Clinton,fake
11899,2016-02-11T22:54:40-05:00,Reaganwasright,2016,Reaganwasright,real
13999,2017-04-17T14:20:42-04:00,Joe Biden,2017,Joe Biden,fake
15224,2018-04-05T10:15:58-04:00,Bloggers,2018,Bloggers,fake
13934,2017-03-31T10:25:34-04:00,Bernie Sanders,2017,Bernie Sanders,fake
10877,2015-05-28T14:33:05-04:00,Bloggers,2015,Bloggers,real
15097,2018-03-06T11:39:31-05:00,Viral  Truth Wire,2018,Viral Truth Wire,real
10413,2015-01-20T17:18:30-05:00,Bloggers,2015,Bloggers,real
14052,2017-04-27T21:00:00-04:00,John McCain,2017,John McCain,fake
15304,2018-04-24T17:22:36-04:00,Bloggers,2018,Bloggers,fake
15018,2018-02-08T10:33:35-05:00,Barack Obama,2018,Barack Obama,fake
15631,2018-07-20T10:59:56-04:00,Bloggers,2018,Bloggers,fake
312,2008-01-25T00:00:00-05:00,Newstarget,2008,Newstarget,real
13132,2016-09-26T23:13:55-04:00,LoveThisPiccom,2016,LoveThisPiccom,real
15048,2018-02-19T09:52:45-05:00,YourNewsWirecom,2018,YourNewsWirecom,fake
12079,2016-03-17T17:23:19-04:00,Rudy Giuliani,2016,Rudy Giuliani,real
14887,2018-01-03T14:26:50-05:00,Hillary Clinton,2018,Hillary Clinton,fake
13548,2016-12-18T13:42:51-05:00,Conservative Daily Post,2016,Conservative Daily Post,real
926,2009-02-04T18:28:13-05:00,Mike Honda,2009,Mike Honda,real
13608,2017-01-11T16:12:09-05:00,Pro Conservative News,2017,Pro Conservative News,fake
13601,2017-01-10T10:37:44-05:00,John Podesta,2017,John Podesta,fake
8069,2013-07-25T16:58:50-04:00,Mike Pence,2013,Mike Pence,real
966,2009-03-20T14:39:35-04:00,Bloggers,2009,Bloggers,real
13565,2016-12-23T11:13:48-05:00,Bloggers,2016,Bloggers,fake
9622,2014-07-18T14:08:44-04:00,Barack Obama,2014,Barack Obama,real
13703,2017-02-06T16:24:00-05:00,Mike Pence,2017,Mike Pence,fake
15156,2018-03-19T12:11:36-04:00,Tdtalliancecom,2018,Tdtalliancecom,fake
13731,2017-02-13T10:55:41-05:00,Mitch McConnell,2017,Mitch McConnell,fake
939,2009-02-27T14:19:01-05:00,CNNews3com,2009,CNNews3com,real
13724,2017-02-09T16:25:41-05:00,Daily World  Update,2017,Daily World Update,fake
1281,2009-10-26T18:02:10-04:00,TheSeattleTribunecom,2009,TheSeattleTribunecom,real
15399,2018-05-17T11:48:42-04:00,Barack Obama,2018,Barack Obama,fake
15514,2018-06-21T10:21:40-04:00,Bloggers,2018,Bloggers,fake
14492,2017-09-01T15:38:54-04:00,Claire McCaskill,2017,Claire McCaskill,fake
14905,2018-01-08T17:09:12-05:00,True American,2018,True American,fake
14693,2017-10-31T14:59:32-04:00,Bloggers,2017,Bloggers,fake
14543,2017-09-19T15:00:08-04:00,Bloggers,2017,Bloggers,fake
13823,2017-03-06T18:04:27-05:00,America Today,2017,America Today,fake
15217,2018-04-03T10:28:28-04:00,FreedomJunkshuncom,2018,FreedomJunkshuncom,fake
11552,2015-11-10T23:58:18-05:00,NYDailyNews TVcom,2015,NYDailyNews TVcom,real
15427,2018-05-24T10:34:03-04:00,UndergroundNewsReportcom,2018,UndergroundNewsReportcom,fake
3251,2011-02-17T17:50:06-05:00,Fellowship of the Minds,2011,Fellowship of the Minds,real
8621,2013-12-04T14:08:18-05:00,Ted Cruz,2013,Ted Cruz,real
14564,2017-09-25T15:27:01-04:00,Bloggers,2017,Bloggers,fake
14247,2017-06-22T10:32:44-04:00,Rand Paul,2017,Rand Paul,fake
14043,2017-04-26T15:21:01-04:00,Timothy Dolan,2017,Timothy Dolan,fake
12924,2016-08-17T11:36:54-04:00,TheLastLineOfDefenseorg,2016,TheLastLineOfDefenseorg,real
14273,2017-07-03T07:00:00-04:00,AntiNewsin,2017,AntiNewsin,fake
15292,2018-04-23T13:59:16-04:00,Bloggers,2018,Bloggers,fake
8995,2014-03-04T09:00:38-05:00,Gary Johnson,2014,Gary Johnson,real
14187,2017-06-06T14:13:16-04:00,Bloggers,2017,Bloggers,fake
228,2007-12-13T00:00:00-05:00,Red State Wave,2007,Red State Wave,real
14207,2017-06-13T11:21:56-04:00,Paul Ryan,2017,Paul Ryan,fake
12944,2016-08-22T18:14:10-04:00,Bloggers,2016,Bloggers,real
14222,2017-06-15T14:26:49-04:00,Fred Thompson,2017,Fred Thompson,fake
14085,2017-05-05T15:51:01-04:00,Bloggers,2017,Bloggers,fake
14452,2017-08-23T10:13:59-04:00,Tim Kaine,2017,Tim Kaine,fake
11777,2016-01-19T14:58:10-05:00,TeddyStickcom,2016,TeddyStickcom,real
8221,2013-09-03T14:19:27-04:00,Bloggers,2013,Bloggers,real
13936,2017-04-03T15:00:00-04:00,Bloggers,2017,Bloggers,fake
13570,2016-12-27T13:13:29-05:00,Paul Ryan,2016,Paul Ryan,fake
11761,2016-01-15T11:22:01-05:00,John McCain,2016,John McCain,real
14417,2017-08-10T10:48:47-04:00,Bloggers,2017,Bloggers,fake
13584,2017-01-04T17:32:25-05:00,NewsExaminernet,2017,NewsExaminernet,fake
14306,2017-07-11T15:37:53-04:00,Ted Cruz,2017,Ted Cruz,fake
15562,2018-07-02T16:18:03-04:00,Bloggers,2018,Bloggers,fake
13987,2017-04-14T09:30:00-04:00,TheNewYorkEveningcom,2017,TheNewYorkEveningcom,fake
13955,2017-04-06T10:00:00-04:00,Bloggers,2017,Bloggers,fake
12751,2016-07-21T23:37:37-04:00,Bloggers,2016,Bloggers,real
14727,2017-11-07T14:57:18-05:00,Bloggers,2017,Bloggers,fake
14855,2017-12-15T15:06:19-05:00,Bloggers,2017,Bloggers,fake
14737,2017-11-09T16:00:00-05:00,Donald Trump,2017,Donald Trump,fake
15187,2018-03-26T12:40:38-04:00,React365com,2018,React365com,fake
15206,2018-03-30T09:28:49-04:00,Bloggers,2018,Bloggers,fake
1019,2009-05-15T17:54:17-04:00,FreedomJunkshuncom,2009,FreedomJunkshuncom,real
15494,2018-06-13T16:54:00-04:00,Viral image,2018,Viral image,fake
8310,2013-09-24T17:12:38-04:00,Bloggers,2013,Bloggers,real
52,2007-09-08T00:00:00-04:00,Mark Sanford,2007,Mark Sanford,real
15416,2018-05-23T13:02:17-04:00,Newsflash,2018,Newsflash,fake
986,2009-04-09T17:49:22-04:00,CW Bill Young,2009,CW Bill Young,real
13468,2016-11-16T09:00:00-05:00,Barack Obama,2016,Barack Obama,fake
1701,2010-04-18T16:45:56-04:00,Bloggers,2010,Bloggers,real
14404,2017-08-08T12:20:57-04:00,George Will,2017,George Will,fake
8778,2014-01-17T10:06:58-05:00,AmericanPoliticNews,2014,AmericanPoliticNews,real
14818,2017-12-06T11:47:50-05:00,Bill Clinton,2017,Bill Clinton,fake
13310,2016-10-20T00:57:52-04:00,Bloggers,2016,Bloggers,real
14362,2017-07-26T11:42:43-04:00,Barack Obama,2017,Barack Obama,fake
14960,2018-01-26T15:53:01-05:00,PuppetStringNewscom,2018,PuppetStringNewscom,fake
14481,2017-08-30T16:42:12-04:00,Hillary Clinton,2017,Hillary Clinton,fake
12770,2016-07-25T23:29:19-04:00,Bloggers,2016,Bloggers,real
15545,2018-06-28T10:44:39-04:00,US Political News,2018,US Political News,fake
14795,2017-11-29T11:53:58-05:00,HoustonChronicle tvcom,2017,HoustonChronicle tvcom,fake
15096,2018-03-05T14:02:43-05:00,Michelle Obama,2018,Michelle Obama,fake
15540,2018-06-27T16:15:23-04:00,Bloggers,2018,Bloggers,fake
15626,2018-07-18T17:29:12-04:00,religionmindcom,2018,religionmindcom,fake
15141,2018-03-15T15:43:27-04:00,Bloggers,2018,Bloggers,fake
15030,2018-02-12T15:40:22-05:00,The Houston Post,2018,The Houston Post,fake
14062,2017-05-01T16:21:46-04:00,Bloggers,2017,Bloggers,fake
