anger,fear,trust,negative,positive,label_fnn
10,6,12,16,16,fake
4,4,15,6,19,fake
2,2,7,11,11,fake
1,6,11,11,20,fake
9,8,12,16,23,fake
5,6,15,7,22,fake
7,10,7,10,17,fake
1,1,2,4,2,fake
4,4,10,7,16,fake
3,4,7,5,9,real
5,4,10,11,15,fake
4,8,9,13,9,fake
7,7,11,17,15,fake
5,4,15,5,22,fake
3,4,8,7,11,real
11,9,16,15,21,fake
4,4,10,5,10,real
2,3,9,8,12,fake
5,4,5,10,10,real
9,12,7,21,7,fake
10,11,13,11,16,fake
5,8,14,11,21,fake
11,12,15,14,20,real
2,5,7,6,9,real
2,2,10,3,20,real
5,4,6,12,14,fake
6,5,13,9,19,fake
3,3,7,8,9,fake
4,7,10,9,12,fake
0,1,4,2,6,real
5,5,8,7,12,real
3,6,16,10,21,fake
4,3,14,10,22,real
3,4,10,6,17,fake
2,3,7,6,9,real
7,5,22,11,26,real
5,3,6,8,12,fake
1,4,11,12,17,fake
2,3,13,10,20,real
12,12,24,15,30,real
5,4,16,9,18,fake
5,3,19,9,29,real
3,15,6,21,12,fake
11,9,14,13,15,fake
9,7,14,15,21,fake
2,5,16,10,21,real
4,4,12,9,13,fake
3,4,20,9,28,real
5,6,13,11,12,fake
6,3,12,7,13,fake
3,5,9,10,13,fake
3,5,7,10,12,fake
5,5,13,12,16,fake
6,8,6,13,9,fake
6,10,13,16,20,fake
6,7,8,7,22,fake
2,1,11,3,13,real
1,7,8,7,14,fake
2,4,9,6,13,real
3,6,20,14,20,real
7,3,15,19,16,fake
1,5,10,11,14,fake
4,5,8,9,12,fake
2,4,13,5,16,real
6,6,8,10,8,fake
6,4,9,10,8,fake
2,7,9,8,13,real
5,8,10,13,12,fake
0,0,8,3,12,real
3,1,9,8,16,fake
1,3,14,7,12,real
3,8,8,14,11,fake
7,9,2,16,5,fake
9,8,12,16,18,fake
5,6,14,12,24,real
9,10,14,14,19,real
4,14,17,14,22,fake
3,1,11,9,12,fake
3,3,7,4,8,real
1,6,8,9,8,fake
6,3,10,13,12,fake
1,3,16,7,18,fake
2,2,8,3,12,fake
7,4,11,15,14,fake
3,3,5,6,7,fake
0,1,5,2,9,real
5,8,12,16,25,fake
7,3,9,10,13,fake
4,6,15,10,14,fake
2,4,6,4,8,fake
0,1,8,3,11,fake
9,7,21,19,24,real
5,6,14,11,18,fake
3,4,13,8,9,real
3,4,11,6,15,real
4,3,16,5,18,fake
4,9,18,12,22,real
0,0,5,4,10,fake
6,6,17,12,25,real
5,8,12,11,15,fake
4,3,18,9,32,real
4,6,15,9,22,fake
13,7,4,14,19,real
2,6,18,11,15,fake
8,5,12,11,17,fake
7,7,13,6,17,fake
4,6,14,9,31,real
13,13,11,22,14,fake
8,10,11,12,15,fake
5,5,10,11,16,fake
7,6,8,12,11,fake
8,13,13,13,20,fake
4,4,15,5,22,fake
5,10,18,13,18,fake
4,6,6,11,10,fake
3,1,4,4,7,real
8,6,12,13,18,fake
2,3,14,4,19,fake
10,8,17,15,18,fake
3,4,12,6,16,fake
5,12,11,17,16,fake
7,7,19,15,18,real
3,6,12,6,21,real
5,4,6,16,7,fake
6,6,15,13,14,fake
6,7,7,9,12,fake
2,1,14,5,20,real
3,5,13,9,13,fake
3,3,18,8,34,real
2,3,7,11,14,fake
2,1,8,4,10,real
9,9,10,14,13,fake
2,5,12,11,11,fake
5,6,19,9,30,fake
4,5,11,7,14,real
0,2,7,5,9,real
2,4,6,9,8,real
5,7,17,12,18,fake
2,3,12,4,6,fake
3,3,11,6,14,fake
6,5,16,11,24,real
9,11,9,18,18,fake
17,13,10,24,12,fake
0,3,8,5,11,real
10,8,14,15,20,fake
3,4,11,9,19,fake
15,19,10,25,16,real
10,10,9,16,16,fake
7,6,16,9,11,fake
3,8,14,14,22,real
4,9,18,10,22,real
1,4,12,6,20,fake
3,2,11,9,7,fake
3,5,2,9,6,real
5,7,11,12,9,fake
2,4,5,7,9,fake
4,7,14,9,21,fake
7,7,10,17,11,real
9,8,13,11,18,fake
7,3,11,11,16,fake
4,4,8,5,9,real
2,3,8,9,7,real
1,0,4,3,7,real
2,3,6,5,10,real
1,3,10,3,8,real
2,2,8,6,11,real
0,0,10,4,15,real
3,2,3,4,6,real
2,1,22,8,28,real
10,8,16,17,24,fake
3,5,9,6,8,real
0,2,6,8,7,real
6,6,12,13,13,fake
1,2,2,1,3,real
1,3,11,7,13,fake
6,5,11,15,16,fake
1,0,6,3,12,real
3,2,13,8,21,fake
1,1,11,2,12,real
9,5,15,12,18,fake
10,6,23,21,36,real
6,3,9,10,18,fake
6,4,12,14,19,fake
10,10,11,15,17,real
3,7,8,10,12,fake
1,4,7,8,14,fake
7,7,13,18,13,fake
3,6,11,12,16,real
7,6,9,16,16,fake
3,2,14,8,16,fake
8,9,33,12,32,real
6,4,13,9,17,fake
6,10,10,17,16,fake
7,9,6,14,13,fake
8,11,13,17,16,fake
12,13,7,15,5,fake
10,14,7,18,7,fake
5,4,12,11,22,fake
4,6,14,14,19,fake
9,7,16,15,23,fake
6,12,16,20,22,real
8,10,13,11,15,fake
4,5,8,7,10,fake
0,1,4,1,7,real
7,13,18,16,27,fake
12,13,12,19,17,fake
9,7,13,18,18,fake
14,17,13,26,14,fake
8,13,11,14,17,fake
3,3,9,11,16,fake
7,10,8,10,15,real
4,5,16,16,25,fake
6,8,11,11,17,fake
6,10,17,12,19,fake
1,5,11,7,18,fake
1,1,13,9,14,fake
2,3,12,8,11,real
3,4,19,5,31,real
7,7,16,19,28,fake
11,9,15,21,27,fake
8,10,20,20,29,fake
0,3,13,6,19,real
1,1,7,5,18,fake
1,7,26,10,24,real
0,1,8,4,13,real
7,8,10,14,16,fake
9,11,9,19,27,real
11,11,17,19,17,real
7,8,17,10,20,fake
6,14,16,20,19,fake
7,6,16,16,21,fake
5,6,14,13,24,fake
7,3,15,7,15,fake
0,2,16,6,17,real
7,11,11,14,15,fake
4,11,10,13,15,fake
2,3,7,7,11,real
4,9,16,10,21,real
1,2,6,3,9,fake
5,5,12,10,18,real
7,8,19,18,19,fake
6,9,22,14,30,real
3,5,15,8,17,fake
3,7,8,11,14,real
4,5,16,15,21,fake
5,3,18,11,20,real
4,1,8,7,13,real
2,0,7,5,7,real
3,10,14,14,27,fake
6,8,6,11,5,real
2,0,7,5,10,real
1,0,10,4,12,real
5,9,13,10,17,real
5,3,10,10,13,fake
4,2,7,5,12,real
6,7,14,13,16,fake
1,3,17,11,26,real
6,8,11,14,21,real
4,4,15,4,16,real
3,9,21,15,27,fake
3,5,20,15,27,real
4,4,13,10,16,fake
10,12,14,17,28,real
4,2,8,9,14,real
17,16,17,20,24,fake
8,16,14,21,14,fake
5,13,15,21,30,fake
5,10,10,9,17,real
8,8,19,18,34,fake
6,3,19,11,25,fake
0,2,6,5,8,real
7,6,14,11,28,real
11,14,19,19,24,fake
10,16,26,25,38,real
2,1,4,3,12,real
5,5,18,10,27,fake
5,6,9,12,17,fake
8,11,13,15,20,fake
3,2,18,6,26,real
3,4,14,9,13,real
8,10,22,22,23,fake
5,6,8,15,15,real
1,1,25,9,29,real
7,8,15,12,16,fake
9,9,13,15,17,real
6,4,17,9,21,real
13,9,28,23,29,fake
5,7,18,19,27,real
5,12,23,15,22,real
3,3,15,6,16,real
10,15,13,15,18,fake
3,2,11,3,11,real
2,4,11,10,16,real
2,5,14,10,20,real
4,5,9,10,15,fake
11,12,13,24,16,real
4,5,14,11,28,real
14,15,22,18,29,real
13,14,18,21,26,real
12,10,19,12,20,fake
7,12,18,13,18,fake
13,12,23,22,30,fake
4,6,6,12,9,fake
2,4,12,4,20,real
12,18,20,18,36,real
3,3,20,7,17,real
0,1,4,1,7,real
7,8,11,10,14,real
10,12,12,18,14,fake
4,7,17,14,30,real
6,5,15,14,24,real
5,8,18,15,19,fake
4,5,13,6,25,real
5,5,21,14,32,real
2,3,22,10,17,real
1,0,7,4,14,real
5,2,11,8,13,real
9,12,10,12,6,fake
8,9,23,15,31,fake
8,5,19,11,27,fake
1,4,18,8,25,real
4,5,21,9,30,fake
10,13,11,16,18,fake
1,1,9,4,13,real
8,4,17,13,24,fake
6,8,17,19,27,fake
1,0,6,3,11,real
3,6,13,11,17,fake
10,10,12,15,20,real
8,9,15,20,31,fake
4,8,17,12,14,real
5,5,16,12,20,fake
16,18,12,26,18,fake
1,3,15,9,17,real
5,8,14,12,25,real
9,6,17,10,19,real
2,3,16,6,20,real
12,16,18,23,24,real
0,0,3,5,6,real
4,8,22,19,28,real
1,0,14,8,30,real
14,12,35,24,40,real
2,3,5,9,13,real
3,4,11,6,15,real
4,9,15,12,13,real
0,0,4,3,7,real
10,8,5,14,10,real
0,1,5,2,7,real
5,6,14,13,14,real
3,3,4,4,7,real
4,4,12,10,20,fake
1,4,9,6,15,fake
4,4,17,11,14,real
4,2,13,6,12,real
4,4,28,11,35,real
3,6,7,13,13,fake
4,8,18,14,17,real
2,3,8,5,15,real
3,4,11,8,13,real
4,3,25,5,34,real
8,11,18,15,19,fake
11,15,20,16,28,real
3,2,6,5,11,fake
4,7,12,13,12,fake
4,4,16,10,18,fake
5,3,13,11,19,real
9,11,18,18,29,real
1,3,17,5,24,real
13,12,8,24,14,fake
6,6,15,10,22,fake
2,3,16,8,16,real
4,4,14,8,14,real
3,3,7,9,14,real
9,11,15,18,18,fake
4,6,12,10,18,fake
2,2,13,7,12,fake
6,6,8,9,10,real
1,5,9,5,9,real
14,18,15,22,28,real
8,8,22,15,34,real
6,8,13,9,21,fake
2,1,8,5,11,real
8,13,12,21,16,fake
14,12,17,24,24,real
8,7,12,12,15,fake
4,1,12,8,13,real
10,9,15,16,17,real
0,1,18,7,29,real
3,5,21,6,27,real
10,12,16,15,22,real
5,10,9,14,17,real
6,9,23,12,28,real
4,5,19,14,30,real
11,10,13,12,17,real
1,1,8,7,10,fake
3,2,20,10,23,real
9,7,5,11,6,real
6,8,22,10,25,real
10,12,18,18,22,fake
7,5,10,8,15,real
3,4,12,5,13,real
1,1,9,5,19,real
2,6,9,7,15,real
6,12,15,15,20,fake
11,11,14,16,19,fake
3,3,5,6,10,real
4,3,21,9,20,real
3,1,14,3,21,real
12,12,15,17,21,real
5,7,19,18,38,real
2,3,4,6,7,fake
9,10,27,19,39,real
1,4,29,8,35,fake
1,0,7,4,20,real
6,6,25,10,33,real
4,5,24,16,32,real
9,8,18,18,17,real
2,4,15,8,28,real
4,2,19,4,22,real
4,9,19,13,23,real
6,5,12,12,15,real
14,10,28,22,45,fake
12,11,18,21,29,fake
7,13,19,17,32,fake
2,2,11,6,11,real
6,6,17,14,23,fake
7,8,24,12,27,fake
2,5,12,10,15,real
10,9,13,14,16,fake
7,7,18,14,26,real
10,12,17,14,15,real
11,10,13,16,21,real
4,2,32,9,39,real
2,2,10,9,14,real
3,8,15,15,15,real
1,2,7,4,10,real
3,8,8,10,12,real
9,11,16,15,13,real
3,6,8,11,11,real
2,4,9,10,23,real
2,10,16,17,22,real
8,7,21,15,28,real
9,10,17,17,21,fake
6,8,19,17,33,real
8,13,8,18,14,fake
9,6,19,18,24,fake
9,10,33,13,37,real
13,18,17,29,29,real
4,3,22,13,31,real
0,5,13,9,15,real
3,3,18,8,25,real
10,8,22,19,33,real
4,7,18,12,27,real
12,20,25,20,32,real
3,1,11,7,14,real
4,2,14,7,20,fake
10,9,26,19,36,real
3,5,7,12,13,real
1,3,7,6,10,real
1,1,10,2,14,real
6,5,14,11,21,fake
9,12,21,17,35,real
1,3,29,12,28,real
8,9,19,16,23,fake
17,14,22,24,38,real
8,6,19,16,20,real
3,6,14,11,23,real
2,1,8,3,9,real
4,8,20,15,21,fake
5,9,8,14,12,real
13,9,34,18,44,real
4,7,15,9,17,real
7,11,9,12,11,real
4,3,20,9,20,real
13,16,25,34,33,real
9,7,19,13,27,real
4,4,19,13,28,fake
7,11,19,18,30,real
0,1,10,3,17,real
4,3,20,7,28,real
19,23,20,32,24,fake
5,6,7,15,10,real
3,3,4,5,4,real
2,4,12,12,25,real
2,4,12,8,17,real
3,5,17,11,20,real
18,22,16,32,20,fake
26,29,17,33,27,real
9,8,21,16,30,real
18,25,37,34,43,real
13,14,29,16,37,real
3,8,10,10,16,real
3,2,16,11,21,real
5,5,21,13,23,fake
3,3,19,6,26,fake
3,7,6,8,5,real
2,9,19,10,27,real
10,17,17,19,27,real
3,2,6,3,11,real
3,4,23,10,19,real
9,7,19,17,24,fake
6,13,27,33,31,real
10,12,19,20,23,fake
4,6,16,9,21,real
13,12,34,23,48,real
9,10,21,18,18,real
5,6,12,12,13,real
17,22,24,33,27,real
2,5,21,17,29,real
2,3,15,6,21,real
2,3,6,6,11,real
14,22,19,22,28,real
7,5,10,14,15,real
3,8,20,13,23,real
17,14,19,23,25,real
2,3,10,12,14,fake
10,11,23,19,31,fake
5,9,29,13,38,real
2,8,19,9,23,real
9,12,28,23,34,real
1,1,18,5,22,real
12,16,22,29,24,fake
7,10,13,15,13,real
2,3,8,4,6,real
4,5,10,10,13,real
1,1,5,4,9,real
3,5,12,6,15,real
7,8,14,16,18,real
7,10,28,25,37,real
11,12,15,17,25,real
3,4,18,10,21,real
6,11,15,19,28,real
3,7,26,8,30,real
19,30,30,36,49,real
7,8,19,13,34,real
6,11,21,14,28,real
5,9,21,12,28,real
1,1,4,3,9,real
3,4,18,7,12,real
7,9,15,13,21,real
5,5,12,7,20,real
5,6,20,9,33,real
13,20,22,28,34,fake
12,22,22,33,32,real
9,6,18,14,29,real
7,4,13,12,16,real
14,18,32,40,50,real
17,31,18,41,21,fake
4,5,17,15,23,real
10,9,20,17,31,real
5,5,9,13,15,real
7,8,32,20,46,real
1,1,5,3,7,real
9,12,8,13,12,real
8,8,16,16,23,real
2,3,8,3,11,real
11,17,24,19,27,real
5,4,4,8,14,real
6,8,9,12,13,real
2,6,9,12,10,real
2,4,16,9,21,real
4,3,15,7,25,real
8,12,16,16,25,real
4,4,10,7,13,real
5,5,17,11,29,real
3,5,13,11,12,real
5,6,28,14,28,real
6,7,16,16,31,real
5,6,11,11,15,real
9,16,32,23,36,fake
5,5,16,12,24,real
1,2,18,10,22,real
2,5,7,9,15,real
5,10,15,16,19,real
2,4,8,7,14,real
5,4,27,9,29,real
6,9,20,21,29,real
6,5,14,8,17,real
5,6,9,10,18,real
12,15,22,16,43,real
3,5,16,13,27,real
4,5,17,8,22,real
11,11,23,25,30,real
11,8,20,26,35,real
11,21,26,22,30,real
12,17,20,21,23,real
25,28,29,35,36,real
4,6,20,16,21,fake
2,9,14,12,22,real
1,5,8,6,14,real
3,4,6,6,14,real
6,6,12,11,17,real
10,8,18,13,27,real
3,2,17,5,23,real
4,4,10,7,14,real
7,10,13,18,31,fake
8,9,12,12,18,real
2,3,12,3,20,real
2,4,5,6,7,real
2,4,17,11,25,real
3,3,8,11,13,real
10,13,14,22,14,fake
0,0,17,0,33,real
6,5,24,14,23,fake
6,9,17,13,20,real
6,6,18,14,22,real
5,7,22,10,28,real
3,5,20,12,28,real
3,6,9,11,16,real
8,6,19,20,32,real
5,10,18,15,26,real
16,15,21,24,16,real
2,6,14,9,13,real
5,7,14,11,12,real
2,7,8,10,14,real
19,31,33,44,49,real
6,6,18,9,30,real
8,6,13,11,19,real
16,13,16,22,15,real
6,7,28,15,29,real
7,11,22,23,34,real
4,11,27,21,48,real
4,4,14,6,21,real
2,7,10,13,16,real
12,9,25,30,42,real
8,9,9,12,11,real
5,3,13,12,18,real
3,5,15,10,17,real
5,4,11,9,16,real
3,3,14,3,18,real
9,13,28,17,47,real
5,3,12,11,28,real
11,11,14,20,18,fake
3,2,23,8,29,real
16,15,40,36,55,real
6,8,10,16,17,real
4,4,13,11,20,real
4,2,10,10,16,real
5,6,23,11,32,real
4,10,17,12,24,real
3,4,19,9,25,real
3,3,13,7,22,real
8,11,7,15,23,real
9,14,27,24,32,real
3,2,12,5,17,real
2,1,10,2,17,real
17,26,31,37,44,real
6,12,17,16,25,real
7,10,20,18,28,real
2,4,32,14,46,real
9,8,8,15,10,real
4,6,12,8,21,real
6,10,13,13,15,real
15,16,16,23,20,real
9,13,24,20,30,real
5,5,9,9,12,real
6,9,19,11,16,real
8,10,14,16,20,real
5,5,9,10,22,real
4,8,11,14,22,real
6,8,23,20,27,real
2,4,20,13,16,real
13,19,19,23,26,real
6,6,8,13,14,real
5,3,16,8,22,real
7,9,16,14,25,real
0,1,7,4,13,real
6,7,23,10,27,real
2,2,24,11,21,real
5,7,17,14,18,real
3,3,11,7,13,real
3,6,22,13,26,real
2,3,8,10,14,real
6,6,15,18,16,real
17,16,25,27,34,real
2,2,12,6,19,real
1,1,15,3,15,real
5,5,10,7,8,real
11,14,30,17,46,real
17,18,28,36,36,real
4,3,29,8,27,real
6,6,21,10,27,real
20,18,22,29,32,real
5,6,20,10,28,real
5,9,16,16,33,real
5,3,22,13,28,real
4,3,15,8,24,real
5,12,29,9,37,real
4,4,15,7,24,real
5,6,11,9,10,real
3,4,10,9,15,real
5,2,15,6,23,real
2,7,27,15,31,real
9,11,22,21,24,real
2,3,23,8,33,real
2,1,16,6,27,real
2,1,10,6,15,real
11,9,25,19,31,real
6,14,9,13,16,real
7,10,25,20,29,real
10,9,11,13,17,real
3,3,14,9,17,real
5,5,27,16,37,real
8,5,17,11,24,real
10,10,26,15,40,real
1,1,13,2,20,real
4,4,13,13,21,real
2,1,10,1,12,real
3,10,14,10,18,real
3,0,12,6,21,real
2,1,14,9,22,real
9,14,22,20,29,real
7,11,11,9,14,real
9,6,22,26,27,real
2,4,24,6,27,real
20,19,24,33,42,real
4,11,17,9,22,real
6,6,23,14,31,real
10,12,30,23,47,real
6,6,14,9,27,real
15,21,35,34,58,real
4,4,20,10,31,real
5,12,13,10,22,real
3,3,14,9,27,real
3,7,11,10,23,real
9,10,16,17,19,real
5,8,29,14,38,real
5,7,23,9,24,real
5,10,21,11,22,real
10,8,32,14,36,real
15,21,26,23,31,real
15,14,21,21,18,real
3,5,28,12,35,real
3,2,14,10,22,real
8,5,22,14,36,real
6,7,31,13,32,real
7,9,27,16,43,real
5,6,13,7,19,real
2,5,24,8,31,real
15,19,24,26,33,real
10,12,21,22,27,real
6,3,21,11,16,real
11,11,20,13,29,real
6,8,19,17,23,real
5,5,16,15,22,real
14,16,26,27,43,real
9,12,23,16,33,real
5,6,11,7,18,real
7,5,20,18,26,real
0,1,15,8,27,real
9,10,26,21,26,real
3,1,19,9,23,real
6,9,24,12,28,real
4,4,25,15,40,real
14,13,30,28,33,real
15,19,21,17,32,real
7,5,19,12,29,real
5,4,11,8,18,real
7,7,29,16,34,real
28,34,40,46,49,real
13,10,29,22,45,real
7,6,22,9,38,real
6,6,21,13,26,real
3,5,22,16,26,real
2,3,12,7,20,real
13,13,22,19,31,real
4,8,21,11,27,real
15,18,29,32,43,real
19,20,30,30,54,real
13,13,14,20,8,real
3,3,14,5,20,real
16,15,22,27,32,real
15,14,28,26,48,real
10,17,32,27,48,real
0,1,9,2,13,real
6,11,20,17,29,real
10,5,22,18,37,real
9,11,25,17,34,real
3,7,33,12,52,real
11,15,22,20,31,real
7,5,18,12,30,real
19,22,28,34,36,real
3,4,12,5,17,real
5,11,20,11,26,real
8,13,26,19,35,real
6,9,20,18,21,real
11,19,24,28,35,real
14,19,17,31,24,real
11,15,24,30,42,real
7,5,29,14,33,real
11,11,24,26,29,real
3,5,10,9,17,real
3,12,13,13,15,real
10,10,39,27,49,real
5,5,17,13,25,real
6,11,19,16,29,real
4,6,22,17,27,real
17,20,28,30,40,real
2,3,20,7,27,real
7,6,9,9,14,real
10,16,23,20,38,fake
12,12,23,20,26,real
5,6,22,9,36,real
3,7,29,9,35,real
5,5,15,8,21,fake
3,4,14,7,29,real
8,12,25,20,32,real
2,2,15,9,21,real
8,9,23,16,36,real
3,6,19,12,26,real
11,16,5,17,12,real
9,7,20,18,24,real
3,2,6,6,11,real
0,0,4,0,9,real
5,5,7,7,13,real
0,0,10,3,13,real
1,2,9,5,8,real
3,1,17,12,24,real
2,4,18,9,26,real
